1,MAS LA CHEVALIERE,34500&nbsp;Béziers
66,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION LA CLAIRETTE D ADISSAN,34230&nbsp;Adissan
67,SOCIETE COOPERATIVE AGRICOLE LE MUSCAT DE ST JEAN DE MINERVOIS,34360&nbsp;Saint-Chinian
68,COOPERATIVE AGRICOLE DE VINIFICATION LE CLOCHER VERT,34480&nbsp;Saint-Geniès-de-Fontedit
69,SOCIETE COOPERATIVE LES CLOS DE THEZAN,34490&nbsp;Thezan-les-Béziers
70,LA CARIGNANO LES VIGNERONS DE GABIAN LES VIGNERONS DES SIX PECHS,34320&nbsp;ROUJAN
71,DOMAINE DES JOUGLA,34360&nbsp;ST CHINIAN
72,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION LES COTEAUX DE RIEUTORT,34490&nbsp;Murviel-les-Béziers
73,SOCIETE COOPERATIVE DE VINIFICATION LES CELLIERS D'ONAIRAC,34210&nbsp;OLONZAC
74,SOCIETE COOPERATIVE AGRICOLE CAVE DE L'ORMARINE,34850&nbsp;Pinet
75,MARTIN COMPS,34620&nbsp;Puisserguier
76,SOCIETE COOPERATIVE AGRICOLE "LES TROIS GRAPPES",34230&nbsp;Paulhan
77,SOCIETE COOPERATIVE AGRICOLE "LES VIGNERONS DE VIAS",34450&nbsp;Vias
78,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION "LA VIGNERONNE" 34570 PIGNAN,34570&nbsp;Pignan
79,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE CRUZY MONTOULIERS CEBAZAN,34310&nbsp;Cruzy
80,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DE PUIMISSON,34480&nbsp;Puimisson
81,LES COTEAUX DE SAINT-CHRISTOL,34400&nbsp;Saint-Christol
82,34,34130&nbsp;Lansargues
83,SOCIETE COOPERATIVE AGRICOLE LES VIGNERONS DU PAYS D'ENSERUNE,34370&nbsp;Maraussan
84,ALMA CERSIUS,34420&nbsp;Cers
85,SCA LES VIGNERONS DU PIC,34820&nbsp;Assas
86,CELLIERS DU VAL DES PINS,34160&nbsp;Montaud
87,INSTITUT OENOLOGIQUE,34120&nbsp;Pézenas
88,LES VINS DE SAINT-SATURNIN,34725&nbsp;Saint-André-de-Sangonis
89,SARL FORTUNA,34270&nbsp;Saint-Mathieu-de-Treviers
90,CAVE COOPERATIVE DE VINIFICATION LES COSTIERES DE POMEROLS,34810&nbsp;Pomerols
91,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION LES COTEAUX DE CAPIMONT,34600&nbsp;Hérépian
92,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION "LES CAVES DU PAYS DE QUARANTE ET DU PAYS D HERIC",34310&nbsp;Quarante
93,SOCIETE COOPERATIVE AGRICOLE INTERCOMMUNALE DE VINIFICATION CLOCHERS ET TERROIRS,34230&nbsp;Paulhan
94,SCEA CHATEAU PUECH HAUT,34160&nbsp;Saint-Drézéry
95,STE CHEVALIRE,34400&nbsp;VERARGUES
96,SYND DEFENSE VINS PAYS VICOMTE AUMELAS,34230&nbsp;LE POUGET
97,CARCELLER SEBASTIEN,34150&nbsp;MONTPEYROUX
98,SANTA PATRICK,34290&nbsp;SERVIAN
99,BOUSQUET CATHERINE,34720&nbsp;CAUX
100,RICARD JEAN GUY,34720&nbsp;CAUX
101,FABRE MARIE THERESE,34210&nbsp;OLONZAC
102,MARTIN ANNICK,34850&nbsp;PINET
103,KWIATKOWSKI DOMINIQUE,34320&nbsp;GABIAN
104,BLANC JEAN CHRISTOPHE,34120&nbsp;PEZENAS
105,ASS CHATEAUX DOMAINES DU LANGUEDOC,34500&nbsp;BEZIERS
