1,ROBELIN PERE ET FILS,30420&nbsp;Calvisson
63,SCA CAVE COOPERATIVE DES VIGNERONS DE LEDIGNAN,30350&nbsp;Lédignan
64,SOCIETE COOPERATIVE AGRICOLE CAVE DES VIGNERONS D'ARAMON THEZIERS,30390&nbsp;Aramon
65,SOCIETE COOPERATIVE AGRICOLE CAVE COOPERATIVE DU VINS DE LEDENON,30210&nbsp;Lédenon
66,SOCIETE COOPERATIVE AGRICOLE "LES COTEAUX CEVENOLS",30170&nbsp;Durfort-et-Saint-Martin-de-Sossenac
67,"CHÂTEAU DE ROZIER",30129&nbsp;Manduel
68,VALLES Valentin Florent,30700&nbsp;Saint-Quentin-la-Poterie
69,"ROC DU CHAY",30430&nbsp;Saint-Jean-de-Maruéjols-et-Avéjan
70,LE QUAI A RAISINS,30250&nbsp;Sommières
71,VITI-RHONE,30390&nbsp;Domazan
72,ASSOCIATION DE PRODUCTEURS S.C.A LES VIGNERONS DE TAVEL VIGNERONS,30126&nbsp;Tavel
73,SOCIETE COOPERATIVE AGRICOLE "LES COTEAUX DE FOURNES",30210&nbsp;Fournès
74,LES VIGNERONS CREATEURS,30300&nbsp;Jonquières-Saint-Vincent
75,SCA ROCCA MAURA - LES VIGNERONS DE ROQUEMAURE,30150&nbsp;Roquemaure
76,SOCIETE COOPERATIVE AGRICOLE DE VINIFICATION MEGIER SABRAN,30200&nbsp;Sabran
77,SCA LES VIGNERONS DE SOUVIGNARGUES,30250&nbsp;Souvignargues
78,LA GRAPPE CEVENOLE,30380&nbsp;Saint-Christol-lès-Alès
79,SOCIETE COOPERATIVE AGRICOLE "LES VIGNERONS DE SAINT GELY",30630&nbsp;Cornillon
80,SCA DE BARJAC SAINT PRIVAT DE CHAMPCLOS ET BESSAS,30430&nbsp;Barjac
81,SOCIETE COOPERATIVE AGRICOLE CAVE COOPERATIVE VINICOLE DE CANAULES,30350&nbsp;Canaules-et-Argentières
82,SOCIETE COOPERATIVE AGRICOLE - CAVE COOPERATIVE DES VIGNERONS DE SAINT JULIEN DE PEYROLAS,30760&nbsp;Saint-Julien-de-Peyrolas
