1,THEODORE LEGRAS,51530&nbsp;Chouilly
62,SOCIETE COOPERATIVE VINICOLE DE SACY,51500&nbsp;Sacy
63,SOCIETE COOPERATIVE VINICOLE "L'UNION DE SAINTE-GEMME" - SOCIETE COOPERATIVE AGRICOLE,51700&nbsp;Sainte-Gemme
64,SOCIETE COOPERATIVE VINICOLE DE CHAVENAY - SOCIETE COOPERATIVE AGRICOLE,51700&nbsp;Dormans
65,LA CAVE D'EDOUARD,51150&nbsp;Bouzy
66,COOPERATIVE VINICOLE L'AVENIR DE REUIL,51480&nbsp;Reuil
67,SOCIETE COOPERATIVE VINICOLE DE BASLIEUX SOUS CHATILLON - SOCIETE COOPERATIVE AGRICOLE,51700&nbsp;Baslieux sous Chatillon
68,GERARDIN Didier André Maurice,51300&nbsp;Vitry-en-Perthois
69,SOCIETE COOPERATIVE VINICOLE "Henri Augustin",51130&nbsp;Vertus
70,Coopérative Vinicole du "MONT AIME",51130&nbsp;Bergères-lès-Vertus
71,SOCIETE COOPERATIVE VINICOLE "LA VIGNERONNE" de VERTUS - SOCIETE COOPERATIVE AGRICOLE,51130&nbsp;Vertus
72,Société Coopérative Vinicole LES HAUTS COTEAUX de LOISY EN BRIE,Société Coopérative Agricole,51130&nbsp;Loisy-en-Brie
73,PERROT Evelyne Nicole,51130&nbsp;Bergères-lès-Vertus
74,COOPERATIVE VINICOLE "LOUIS DUPONT",51480&nbsp;Cumières
75,SOCIETE COOPERATIVE AGRICOLE VINICOLE "LA RUCHE" DE TROISSY,51700&nbsp;Troissy
76,S.A.R.L. CHAMPAGNE PHILIZOT & FILS,51480&nbsp;Reuil
77,COOPERATIVE LES VITICULTEURS D'AVIZE,51190&nbsp;Avize
78,SOCIETE COOPERATIVE DE VINIFICATION DE DAMERY SOCIETE COOPERATIVE AGRICOLE,51480&nbsp;Damery
79,COOPERATIVE VINICOLE DE FLEURY LA RIVIERE,51480&nbsp;Fleury-la-Rivière
80,COOPERATIVE AGRICOLE ET VINICOLE DITE UNION DES PRODUCTEURS DE LA COTE DES BLANCS,51190&nbsp;Le Mesnil-sur-Oger
81,COOPERATIVE VINICOLE L'ESPERANCE DE NESLE LE REPONS,51700&nbsp;Nesle-le-répons
82,SOCIETE COOPERATIVIE AGRICOLE VINICOLE DE SERMIERS,51500&nbsp;Sermiers
83,SOCIETE COOPERATIVE VINICOLE DE VILLERS-MARMERY SOCIETE COOPERATIVE AGRICOLE,51380&nbsp;Villers-Marmery
84,SOCIETE COOPERATIVE AGRICOLE VINICOLE DE CUCHERY SOCIETE COOPERATIVE AGRICOLE,51480&nbsp;Cuchery
85,COOPERATIVE VINICOLE LA GRAPPE D'OR DE VERT TOULON,51130&nbsp;Vert-Toulon
86,SOCIETE COOPERATIVE VINICOLE DE RILLY LA MONTAGNE,51500&nbsp;Rilly-la-Montagne
87,SOCIETE COOPERATIVE VINICOLE D'ECUEIL,51500&nbsp;Ecueil
88,SOCIETE COOPERATIVE VINICOLE DE LOUVOIS TAUXIERES,51150&nbsp;Val de Livre
89,SOC DE FAIT THOMAS FRERES,51130&nbsp;VERTUS
90,PHILBERT MARIE-JOSE,51500&nbsp;RILLY LA MONTAGNE
91,BOUCTON PASCAL ERNEST EMILE,51500&nbsp;CHAMERY
