101,A.V.S.,92220&nbsp;Bagneux
102,SACH AND WINES,92270&nbsp;Bois-Colombes
103,LANSDORF Michaël,92600&nbsp;Asnières-sur-Seine
104,SIP DRINKS,92200&nbsp;Neuilly-sur-Seine
105,WOLF AGENCY,92600&nbsp;Asnières-sur-Seine
106,THE B BRANDS COMPANY,92200&nbsp;Neuilly-sur-Seine
107,IDRINQ FRANCE,92100&nbsp;Boulogne-Billancourt
108,MIND & SPIRITS,92290&nbsp;Châtenay-Malabry
109,L'ACCENT DES VINS,92240&nbsp;Malakoff
110,LA CAVINIERE,92100&nbsp;Boulogne-Billancourt
111,LES GRANDES CAVES DE BOURGOGNE,92500&nbsp;Rueil-Malmaison
112,SARL VIGNES ET LOIRE,92100&nbsp;Boulogne
113,LES VINS DE CAMILLE,92170&nbsp;Vanves
114,JAPAN EXQUISE FRANCE,92130&nbsp;Issy-les-Moulineaux
115,LATIVINI,92200&nbsp;Neuilly-sur-Seine
116,HELLO DRINKS,92400&nbsp;Courbevoie
117,DUARTE Sylvie,92100&nbsp;Boulogne-Billancourt
118,SOCIETE COMMERCIALE DE VIGNERONS RECOLTANTS,92200&nbsp;Neuilly-sur-Seine
119,LES RUAULTS,92400&nbsp;Courbevoie
120,JANAT,92500&nbsp;Rueil-Malmaison
121,N.P. CONSEILS.,92300&nbsp;Levallois-Perret
122,VINS ET CIE,92100&nbsp;Boulogne-Billancourt
123,LES VINS DE LOUIS,92130&nbsp;Issy-les-Moulineaux
124,CAMPANEUS,92100&nbsp;Boulogne-Billancourt
125,SAS VINOPIA,92370&nbsp;Chaville
126,FREDERIC PILMES-VINS ET CONSEILS,92160&nbsp;Antony
127,MES VIGNES EN COFFRET,92200&nbsp;Neuilly-sur-Seine
128,BOT & BON,92120&nbsp;Montrouge
129,BENZ,92637&nbsp;Gennevilliers CEDEX
130,MANARA DISTRIBUTION,92800&nbsp;Puteaux
131,FRANCE BOISSONS TRADING,92500&nbsp;Rueil-Malmaison
132,STEPHANE DUVERNE EURL,92150&nbsp;Suresnes
133,ILO France,92100&nbsp;Boulogne-Billancourt
134,BUBBLES UNLIMITED,92380&nbsp;Garches
135,Rhum Invest,92400&nbsp;Courbevoie
136,VIN ET MEZCAL,92514&nbsp;Boulogne Billancourt CEDEX
137,AZEMA Frederic,92100&nbsp;Boulogne-Billancourt
138,DOMAINE DE FONDOUCE,92100&nbsp;Boulogne-Billancourt
139,SARAGO,92170&nbsp;Vanves
140,VINYLES,92300&nbsp;Levallois-Perret
141,WINE INTERNATIONAL,92200&nbsp;Neuilly-sur-Seine
142,ALMA MATER WINE,92700&nbsp;Colombes
143,AMZIANE VINS,92270&nbsp;Bois-Colombes
144,JEAN-YVES,92400&nbsp;Courbevoie
145,WINE TRIBUTE,92100&nbsp;Boulogne-Billancourt
146,THOMAS WINERY,92120&nbsp;Montrouge
147,MOET HENNESSY UDV-KRUG,92400&nbsp;COURBEVOIE
148,DOYENNEL FABIEN,92110&nbsp;CLICHY
149,SABAN MARIETTA FULBERT,92600&nbsp;ASNIERES SUR SEINE
150,SIMON COLINE,92100&nbsp;BOULOGNE BILLANCOURT
151,YENBOU ABDDOUAHID,92000&nbsp;NANTERRE
152,STEF BOUANOU CHAFAA ET MOHAMMED,92250&nbsp;LA GARENNE COLOMBES
