99,ETABLISSEMENTS HENRI COIGNET,17200&nbsp;Royan
100,SARRAZIN Roger Maurice,17800&nbsp;Pons
101,BEGAUD-FETIVEAUD SARL,17770&nbsp;Villars-les-Bois
102,VIGIE Dominique,17120&nbsp;Cozes
103,CAVE SAINTONGE,17320&nbsp;Marennes
104,ABSOLUTELY WINE EURL,17000&nbsp;La Rochelle
105,B.F. WINE,17000&nbsp;La Rochelle
106,TREMIERE,17670&nbsp;La couarde sur Mer
107,O&H La Rochelle,17000&nbsp;Rochelle
108,THIBAUD Yann,17700&nbsp;Surgères
109,S.A.R.L. MAISON BARBEAU ET FILS,17160&nbsp;Sonnac
110,G.R.,17000&nbsp;La Rochelle
111,BODARD,17520&nbsp;Archiac
112,NAPOLEON AND CO,17600&nbsp;Le gua
113,GOURDET,17500&nbsp;Allas-Champagne
114,ZE BAR IN,17480&nbsp;Rosas
115,O Ré BU,17290&nbsp;Aigrefeuille-d'aunis
116,DRONNE IMPORT,17360&nbsp;Saint-Aigulin
117,SARL LA VIEILLE TOUR D'ORVILLE,17800&nbsp;Bougneau
118,M. TESSONNEAU,17150&nbsp;Saint-Martial-de-Mirambeau
119,LAIGLE Thierry,17260&nbsp;Villars-en-Pons
120,LE COURTIL GUELIN,17800&nbsp;Pérignac
121,SARL DOMAINE CASTEL-SABLONS,17520&nbsp;Saint-Maigrin
122,la cave atlantique,17670&nbsp;Couarde sur Mer
123,VINTO,17137&nbsp;Marsilly
124,VIAUD Dominique,17160&nbsp;La Brousse
125,THIERRY JULLION,17520&nbsp;Saint-Maigrin
126,I.COCHAIN,17120&nbsp;Chenac Saint-Seurin d'Uzet
127,AVH,17000&nbsp;La Rochelle
128,DUTRONC Daniel,17139&nbsp;Dompierre-sur-Mer
129,Alain FOURCADE & Hervé LELONG,17140&nbsp;Lagord
130,DYONISOS,17150&nbsp;Boisredon
131,COMANDON,17260&nbsp;Gémozac
132,DOMINIQUE CHAINIER ET FILS SARL,17520&nbsp;Arthenac
133,VIGNOBLES MORANDIERE,17150&nbsp;Saint-Georges-des-Agoûts
134,SECHERESSE Maxime, Thomas,17620&nbsp;Saint-jean-d'angle
135,MASSE YOLANDE,17800&nbsp;ECHEBRUNE
136,INDI SUCC JEAN PAUL JAUNAS,17400&nbsp;ASNIERES LA GIRAUD
137,FRADET VALMON,17150&nbsp;SAINT BONNET SUR GIRONDE
138,NEBOUT NICOLE,17240&nbsp;SAINT GERMAIN DU SEUDRE
139,INDIVISION ARCHAIN,17800&nbsp;SAINT PALAIS DE PHIOLIN
140,INDIVISION TROCHUT,17770&nbsp;ECOYEUX
141,BAILLIF JEAN-MARIE,17800&nbsp;SAINT PALAIS DE PHIOLIN
142,INDI SUCCESSORALE PASQUIER,17490&nbsp;NEUVICQ LE CHATEAU
